n,mask,t,x,y,z
561,92,18.7,5.125244167810912,18.952920315860887,1.097505486494843
562,92,18.733333333333334,5.522073377151696,18.456758950491984,1.1453695490415512
563,124,18.766666666666666,5.491671288550752,18.683114939750734,1.0621735032490178
564,124,18.8,5.693874055075972,18.55510987516905,1.3715038296654438
565,124,18.83333333333333,5.919802617085097,18.18298511380093,1.7769409645298138
566,124,18.866666666666667,6.063116181477574,18.143555060162093,2.077769362260056
567,124,18.9,6.294314517283361,17.875522584420505,2.321052190589889
568,124,18.933333333333334,6.411619512308532,17.823041460005413,2.4148775451863362
569,124,18.966666666666665,6.678613236189263,17.663601154582434,2.4195967636535047
570,124,19.0,6.923234245327244,17.542137313266053,2.341700654974372
571,60,19.03333333333333,7.187871251365148,17.35949471434254,2.20001615404899
572,60,19.066666666666666,7.635060639512934,17.586847445588248,1.817949421293676
573,60,19.1,7.928760593705479,17.596640265770304,1.6030779413789176
574,60,19.133333333333333,8.509897549580609,17.896994650154127,1.0040195584144154
575,60,19.166666666666668,8.605919913994116,17.82498952646918,1.0279569523991203
576,56,19.2,9.254132978109544,18.565815233726497,0.9988088632817956
577,56,19.233333333333334,9.493938345507257,18.733475756253647,1.2212325113743785
578,44,19.266666666666666,9.20543725503152,18.344546826803626,1.6047956751861592
579,44,19.3,9.398093687400056,18.260765387104424,1.9154940020278943
580,44,19.33333333333333,9.582447913434857,18.539699682407495,2.1747820178042296
581,44,19.366666666666667,9.715755090528056,18.46404411313005,2.490938902193619
582,44,19.4,9.886806293277024,18.710373483061133,2.71357988049774
583,44,19.433333333333334,10.055914924732397,18.58749084344161,2.754764304037931
584,44,19.466666666666665,10.171633905844347,18.749383337689636,2.9214278341394846
585,44,19.5,10.286130125376628,18.778793974912123,2.6593465094236817
586,44,19.53333333333333,10.550766833590096,19.0220555298702,2.40376023197911
587,44,19.566666666666666,10.511758497540178,19.333155980823072,2.1402529240968
588,44,19.6,10.838129786732845,19.54498504051395,1.4153601021805984
589,44,19.633333333333333,10.676386372560431,19.927681394378585,1.3891083164532845
590,44,19.666666666666668,10.840560756395163,20.082731999882622,1.3015385343701136
591,44,19.7,10.774970471918484,20.430456175078604,1.5268841527271546
592,44,19.733333333333334,10.762470470214534,20.577145751498843,2.0074243377130188
593,44,19.766666666666666,10.73474854158972,20.998506204571267,2.367650613200804
594,44,19.8,10.921420853551073,21.27783081090019,2.8112955942288163
595,44,19.83333333333333,11.057082812554365,21.400359070346838,3.1193031573339347
596,44,19.866666666666667,11.25544465475472,21.67367525502239,3.3907905806202767
597,44,19.9,11.431866379102681,21.921958433758988,3.6009670770436424
598,44,19.933333333333334,11.843097376823835,22.420320180013505,3.7973375149211432
599,44,19.966666666666665,11.871497268279375,22.75153062370184,3.902482746769037
600,44,20.0,12.262225243892194,23.20581197954256,3.9693115802290295
601,44,20.03333333333333,12.232371079463976,23.793933954419018,3.962388781239062
602,44,20.066666666666666,12.635608221114323,24.26149939702511,3.9809737038642607
603,44,20.1,12.50700526313061,25.214507364606945,3.673053185492812
604,44,20.133333333333333,12.875274842209304,25.63771119768715,3.6371225544889
605,44,20.166666666666668,12.664268531900728,26.788477374142165,3.1137230996874137
606,108,20.2,12.868137648686357,26.638124481756886,3.065450097744193
607,76,20.233333333333334,12.769243779762325,27.668118163785444,2.472678094755849
608,76,20.266666666666666,13.122071435343974,27.53190710134297,1.89196496721743
609,76,20.3,12.743878801704922,28.98413486699516,1.8494411016825008
610,76,20.33333333333333,12.880386221966427,28.92593282843379,1.4607220859443186
611,76,20.366666666666667,12.505018302151823,30.143210481752753,1.2828644921859882
612,76,20.4,12.302939191549408,30.537266338544192,1.8002150344010317
613,108,20.433333333333334,12.174779717039868,30.955670921119157,2.241157213017344
614,108,20.466666666666665,12.118663696960631,30.994235005976353,2.6062779641782865
615,76,20.5,11.821964626516055,31.695374528447914,3.281707392336259
616,76,20.53333333333333,11.758347047195914,31.68050218044624,3.6243450172438534
617,76,20.566666666666666,11.522236265297966,32.072592193517124,3.9639708462790386
618,76,20.6,11.337112986890071,32.09589836639906,4.160400063412319
619,100,20.633333333333333,11.24492073780724,32.3577695215277,4.3156994840789915
620,100,20.666666666666668,11.007162552434805,32.25547189142865,4.451936379158394
621,68,20.7,10.761928562595923,32.5601786409696,4.509293411922074
622,68,20.733333333333334,10.545732510102146,32.657093367833106,4.469516082576226
623,100,20.766666666666666,10.43688557669256,32.900435012920475,4.478029513904069
624,96,20.8,10.680250382552416,32.939183404499026,4.5235334651234025
625,96,20.83333333333333,10.504268735115037,33.305751284493105,4.132914396296209
626,96,20.866666666666667,10.47815337790802,33.28116986304052,4.035903196191901
627,72,20.9,10.93727499315544,33.18515039141645,2.683820252982305
628,72,20.933333333333334,10.934461608072764,33.18710642686694,2.6500271779983358
629,40,20.966666666666665,10.621349248667922,35.06975227122353,1.21619540721887
630,44,21.0,10.194102816162564,34.414170022534336,1.392778833274726
631,44,21.03333333333333,10.203203727434259,34.804397775138824,1.1173280508300605
632,44,21.066666666666666,10.328652428958836,34.87837401348454,0.9202856613699928
633,12,21.1,11.833985639424766,28.323184037807568,1.7041997010783274
634,12,21.133333333333333,11.737790385268106,29.737324288683748,1.4640278848917332
635,44,21.166666666666668,10.49873794282166,36.077859911562136,1.01544205241632
636,44,21.2,10.669328412157919,36.43096486289362,1.2242787017581047
637,12,21.233333333333334,12.12984192598754,29.963329687465023,1.5867925865895836
638,12,21.266666666666666,11.955571362465038,31.58186557456648,1.4865213284449277
639,76,21.3,11.149211838887515,37.10083580639032,1.39960827703766
640,76,21.33333333333333,11.581867103265408,36.98868836757464,1.095809922321057
641,108,21.366666666666667,11.435529607854386,37.808599018259,1.018300138091818
642,108,21.4,11.567945292316525,37.828160206769425,1.050361260943408
643,100,21.433333333333334,11.166002874107866,38.13065143651591,0.9202279866141284
644,96,21.466666666666665,11.571169919395725,38.17652769131284,0.8977342448008812
645,72,21.5,13.337022514723108,38.02203863672553,1.7865504628248876
646,72,21.53333333333333,13.322853932313109,38.17028462954593,1.7403786601031386
647,72,21.566666666666666,14.150750260388465,38.19033986440666,2.1825440235273024
648,72,21.6,14.150750260388465,38.19033986440666,2.1825440235273024
649,76,21.63333333333333,13.67189638670601,38.70962310046447,2.5108328124445087
650,76,21.66666666666667,14.004971799797465,38.69913516233564,2.485910461364941
651,76,21.7,14.180215328232812,39.266652185268434,2.521935267647799
652,76,21.73333333333333,14.618116211146114,39.24079441290819,2.4519117870277523
653,76,21.766666666666666,14.865545204763752,39.75140728169721,2.4767773382086524
654,76,21.8,15.2635565864089,39.75400602303979,2.364716328322082
655,76,21.83333333333333,15.54157830947853,40.41412614780622,2.192157443020682
656,76,21.86666666666667,15.837844806901654,40.358654370299035,2.0855028029506557
657,76,21.9,16.09086735476312,40.8332063792911,1.80592963007152
658,76,21.93333333333333,16.59907904879609,40.793967008297635,1.6352260545015216
659,76,21.966666666666665,16.80608480864818,41.361915056575405,1.43613580944845
660,108,22.0,17.054979258186947,41.55945886078451,1.2272275908807402
661,108,22.03333333333333,17.109460896473312,41.84905941376203,1.249490542195402
662,108,22.066666666666666,17.433299543971515,41.854673020736996,1.0029151125810123
663,44,22.1,17.704753283069707,42.981583712101546,0.7575026722342009
664,44,22.13333333333333,17.892901448811898,43.30320410681647,0.9825013548326264
665,44,22.16666666666667,18.038178395990766,43.23505501349032,1.2263206861453608
666,44,22.2,18.209112095717558,43.49290573278913,1.3496688945463549
